"Id","English","Kana","Romaji","Trademark"
"412","Burmy","ミノムッチ","Minomutchi","Minomucchi"
"413","Wormadam","ミノマダム","Minomadamu","Minomadam"
"414","Mothim","ガーメイル","Gāmeiru","Gamale"
"415","Combee","ミツハニー","Mitsuhanī","Mitsuhoney"
"416","Vespiquen","ビークイン","Bīkuin","Beequen"
"417","Pachirisu","パチリス","Pachirisu","Pachirisu"
"418","Buizel","ブイゼル","Buizeru","Buoysel"
"419","Floatzel","フローゼル","Furōzeru","Floazel"
"420","Cherubi","チェリンボ","Cherinbo","Cherinbo"
"421","Cherrim","チェリム","Cherimu","Cherrim"
"422","Shellos","カラナクシ","Karanakushi","Karanakushi"
"423","Gastrodon","トリトドン","Toritodon","Tritodon"
"424","Ambipom","エテボース","Etebōsu","Eteboth"
"425","Drifloon","フワンテ","Fuwante","Fuwante"
"426","Drifblim","フワライド","Fuwaraido","Fuwaride"
"427","Buneary","ミミロル","Mimiroru","Mimirol"
"428","Lopunny","ミミロップ","Mimiroppu","Mimilop"
"429","Mismagius","ムウマージ","Mūmāji","Mumargi"
"430","Honchkrow","ドンカラス","Donkarasu","Dongkarasu"
"431","Glameow","ニャルマー","Nyarumā","Nyarmar"
"432","Purugly","ブニャット","Bunyatto","Bunyatto"
"433","Chingling","リーシャン","Rīshan","Lisyan"
"434","Stunky","スカンプー","Sukanpū","Skunpoo"
"435","Skuntank","スカタンク","Sukatanku","Skutank"
"436","Bronzor","ドーミラー","Dōmirā","Dohmirror"
"437","Bronzong","ドータクン","Dōtakun","Dohtakun"
"438","Bonsly","ウソハチ","Usohachi","Usohachi"
"439","Mime Jr.","マネネ","Manene","Manene"
"440","Happiny","ピンプク","Pinpuku","Pinpuku"
"441","Chatot","ペラップ","Perappu","Perap"
"442","Spiritomb","ミカルゲ","Mikaruge","Mikaruge"
"443","Gible","フカマル","Fukamaru","Fukamaru"
"444","Gabite","ガバイト","Gabaito","Gabite"
"445","Garchomp","ガブリアス","Gaburiasu","Gaburias"
"446","Munchlax","ゴンベ","Gonbe","Gonbe"
"447","Riolu","リオル","Rioru","Riolu"
"448","Lucario","ルカリオ","Rukario","Lucario"
"449","Hippopotas","ヒポポタス","Hipopotasu","Hippopotas"
"450","Hippowdon","カバルドン","Kabarudon","Kabaldon"
"451","Skorupi","スコルピ","Sukorupi","Scorpi"
"452","Drapion","ドラピオン","Dorapion","Dorapion"
"453","Croagunk","グレッグル","Guregguru","Gureggru"
"454","Toxicroak","ドクロッグ","Dokuroggu","Dokurog"
"455","Carnivine","マスキッパ","Masukippa","Muskippa"
"456","Finneon","ケイコウオ","Keiko'uo","Keikouo"
"457","Lumineon","ネオラント","Neoranto","Neolant"
"458","Mantyke","タマンタ","Tamanta","Tamanta"
"459","Snover","ユキカブリ","Yukikaburi","Yukikaburi"
"460","Abomasnow","ユキノオー","Yukinoō","Yukinooh"
"461","Weavile","マニューラ","Manyūra","Manyula"
"462","Magnezone","ジバコイル","Jibakoiru","Jibacoil"
"463","Lickilicky","ベロベルト","Beroberuto","Berobelt"
"464","Rhyperior","ドサイドン","Dosaidon","Dosidon"
"465","Tangrowth","モジャンボ","Mojanbo","Mojumbo"
"466","Electivire","エレキブル","Erekiburu","Elekible"
"467","Magmortar","ブーバーン","Būbān","Booburn"
"468","Togekiss","トゲキッス","Togekissu","Togekiss"
"469","Yanmega","メガヤンマ","Megayanma","Megayanma"
"470","Leafeon","リーフィア","Rīfia","Leafia"
"471","Glaceon","グレイシア","Gureishia","Glacia"
"472","Gliscor","グライオン","Guraion","Glion"
"473","Mamoswine","マンムー","Manmū","Mammoo"
"474","Porygon-Z","ポリゴンＺ","Porigon Zetto","PorygonZ"
"475","Gallade","エルレイド","Erureido","Erureido"
"476","Probopass","ダイノーズ","Dainōzu","Dainose"
"477","Dusknoir","ヨノワール","Yonowāru","Yonoir"
"478","Froslass","ユキメノコ","Yukimenoko","Yukimenoko"
"479","Rotom","ロトム","Rotomu","Rotom"
"480","Uxie","ユクシー","Yukushī","Yuxie"
"481","Mesprit","エムリット","Emuritto","Emrit"
"482","Azelf","アグノム","Agunomu","Agnome"
"483","Dialga","ディアルガ","Diaruga","Dialga"
"484","Palkia","パルキア","Parukia","Palkia"
"485","Heatran","ヒードラン","Hīdoran","Heatran"
"486","Regigigas","レジギガス","Rejigigasu","Regigigas"
"487","Giratina","ギラティナ","Giratina","Giratina"
"488","Cresselia","クレセリア","Kureseria","Crecelia"
"489","Phione","フィオネ","Fione","Phione"
"490","Manaphy","マナフィ","Manafi","Manaphy"
"491","Darkrai","ダークライ","Dākurai","Darkrai"
"492","Shaymin","シェイミ","Sheimi","Shaymin"
"493","Arceus","アルセウス","Aruseusu","Arceus"
"494","Victini","ビクティニ","Bikutini","Victini"
"495","Snivy","ツタージャ","Tsutāja","Tsutarja"
"496","Servine","ジャノビー","Janobī","Janovy"
"497","Serperior","ジャローダ","Jarōda","Jalorda"
"498","Tepig","ポカブ","Pokabu","Pokabu"
"499","Pignite","チャオブー","Chaobū","Chaoboo"
"500","Emboar","エンブオー","Enbuō","Enbuoh"
"501","Oshawott","ミジュマル","Mijumaru","Mijumaru"
"502","Dewott","フタチマル","Futachimaru","Futachimaru"
"503","Samurott","ダイケンキ","Daikenki","Daikenki"
"504","Patrat","ミネズミ","Minezumi","Minezumi"
"505","Watchog","ミルホッグ","Miruhoggu","Miruhog"
"506","Lillipup","ヨーテリー","Yōterī","Yorterrie"
"507","Herdier","ハーデリア","Hāderia","Herderrie"
"508","Stoutland","ムーランド","Mūrando","Mooland"
"509","Purrloin","チョロネコ","Choroneko","Choroneko"
"510","Liepard","レパルダス","Reparudasu","Lepardas"
"511","Pansage","ヤナップ","Yanappu","Yanappu"
"512","Simisage","ヤナッキー","Yanakkī","Yanakkie"
"513","Pansear","バオップ","Baoppu","Baoppu"
"514","Simisear","バオッキー","Baokkī","Baokkie"
"515","Panpour","ヒヤップ","Hiyappu","Hiyappu"
"516","Simipour","ヒヤッキー","Hiyakkī","Hiyakkie"
"517","Munna","ムンナ","Munna","Munna"
"518","Musharna","ムシャーナ","Mushāna","Musharna"
"519","Pidove","マメパト","Mamepato","Mamepato"
"520","Tranquill","ハトーボー","Hatōbō","Hatoboh"
"521","Unfezant","ケンホロウ","Kenhorō","Kenhallow"
"522","Blitzle","シママ","Shimama","Shimama"
"523","Zebstrika","ゼブライカ","Zeburaika","Zebraika"
"524","Roggenrola","ダンゴロ","Dangoro","Dangoro"
"525","Boldore","ガントル","Gantoru","Gantle"
"526","Gigalith","ギガイアス","Gigaiasu","Gigaiath"
"527","Woobat","コロモリ","Koromori","Koromori"
"528","Swoobat","ココロモリ","Kokoromori","Kokoromori"
"529","Drilbur","モグリュー","Moguryū","Mogurew"
"530","Excadrill","ドリュウズ","Doryūzu","Doryuzu"
"531","Audino","タブンネ","Tabunne","Tabunne"
"532","Timburr","ドッコラー","Dokkorā","Dokkorer"
"533","Gurdurr","ドテッコツ","Dotekkotsu","Dotekkotsu"
"534","Conkeldurr","ローブシン","Rōbushin","Roubushin"
"535","Tympole","オタマロ","Otamaro","Otamaro"
"536","Palpitoad","ガマガル","Gamagaru","Gamagaru"
"537","Seismitoad","ガマゲロゲ","Gamageroge","Gamageroge"
"538","Throh","ナゲキ","Nageki","Nageki"
"539","Sawk","ダゲキ","Dageki","Dageki"
"540","Sewaddle","クルミル","Kurumiru","Kurumiru"
"541","Swadloon","クルマユ","Kurumayu","Kurumayu"
"542","Leavanny","ハハコモリ","Hahakomori","Hahakomori"
"543","Venipede","フシデ","Fushide","Fushide"
"544","Whirlipede","ホイーガ","Hoīga","Wheega"
"545","Scolipede","ペンドラー","Pendorā","Pendror"
"546","Cottonee","モンメン","Monmen","Monmen"
"547","Whimsicott","エルフーン","Erufūn","Elfuun"
"548","Petilil","チュリネ","Churine","Churine"
"549","Lilligant","ドレディア","Doredia","Dredear"
"550","Basculin","バスラオ","Basurao","Bassrao"
"551","Sandile","メグロコ","Meguroko","Meguroco"
"552","Krokorok","ワルビル","Warubiru","Waruvile"
"553","Krookodile","ワルビアル","Warubiaru","Waruvial"
"554","Darumaka","ダルマッカ","Darumakka","Darumakka"
"555","Darmanitan","ヒヒダルマ","Hihidaruma","Hihidaruma"
"556","Maractus","マラカッチ","Marakatchi","Maracacchi"
"557","Dwebble","イシズマイ","Ishizumai","Ishizumai"
"558","Crustle","イワパレス","Iwaparesu","Iwapalace"
"559","Scraggy","ズルッグ","Zuruggu","Zuruggu"
"560","Scrafty","ズルズキン","Zuruzukin","Zuruzukin"
"561","Sigilyph","シンボラー","Shinborā","Symboler"
"562","Yamask","デスマス","Desumasu","Desumasu"
"563","Cofagrigus","デスカーン","Desukān","Desukarn"
"564","Tirtouga","プロトーガ","Purotōga","Protoga"
"565","Carracosta","アバゴーラ","Abagōra","Abagoura"
"566","Archen","アーケン","Āken","Archen"
"567","Archeops","アーケオス","Ākeosu","Archeos"
"568","Trubbish","ヤブクロン","Yabukuron","Yabukuron"
"569","Garbodor","ダストダス","Dasutodasu","Dustdas"
"570","Zorua","ゾロア","Zoroa","Zorua"
"571","Zoroark","ゾロアーク","Zoroāku","Zoroark"
"572","Minccino","チラーミィ","Chirāmī","Chillarmy"
"573","Cinccino","チラチーノ","Chirachīno","Chillaccino"
"574","Gothita","ゴチム","Gochimu","Gothimu"
"575","Gothorita","ゴチミル","Gochimiru","Gothimiru"
"576","Gothitelle","ゴチルゼル","Gochiruzeru","Gothiruselle"
"577","Solosis","ユニラン","Yuniran","Uniran"
"578","Duosion","ダブラン","Daburan","Doublan"
"579","Reuniclus","ランクルス","Rankurusu","Lanculus"
"580","Ducklett","コアルヒー","Koaruhī","Koaruhie"
"581","Swanna","スワンナ","Suwanna","Swanna"
"582","Vanillite","バニプッチ","Baniputchi","Vanipeti"
"583","Vanillish","バニリッチ","Baniritchi","Vanirich"
"584","Vanilluxe","バイバニラ","Baibanira","Baivanilla"
"585","Deerling","シキジカ","Shikijika","Shikijika"
"586","Sawsbuck","メブキジカ","Mebukijika","Mebukijika"
"587","Emolga","エモンガ","Emonga","Emonga"
"588","Karrablast","カブルモ","Kaburumo","Kaburumo"
"589","Escavalier","シュバルゴ","Shubarugo","Chevargo"
"590","Foongus","タマゲタケ","Tamagetake","Tamagetake"
"591","Amoonguss","モロバレル","Morobareru","Morobareru"
"592","Frillish","プルリル","Pururiru","Pururill"
"593","Jellicent","ブルンゲル","Burungeru","Burungel"
"594","Alomomola","ママンボウ","Mamanbō","Mamanbou"
"595","Joltik","バチュル","Bachuru","Bachuru"
"596","Galvantula","デンチュラ","Denchura","Dentula"
"597","Ferroseed","テッシード","Tesshīdo","Tesseed"
"598","Ferrothorn","ナットレイ","Nattorei","Nutrey"
"599","Klink","ギアル","Giaru","Giaru"
"600","Klang","ギギアル","Gigiaru","Gigiaru"
"601","Klinklang","ギギギアル","Gigigiaru","Gigigiaru"
"602","Tynamo","シビシラス","Shibishirasu","Shibishirasu"
"603","Eelektrik","シビビール","Shibibīru","Shibibeel"
"604","Eelektross","シビルドン","Shibirudon","Shibirudon"
"605","Elgyem","リグレー","Rigurē","Ligray"
"606","Beheeyem","オーベム","Ōbemu","Ohbem"
"607","Litwick","ヒトモシ","Hitomoshi","Hitomoshi"
"608","Lampent","ランプラー","Ranpurā","Lampler"
"609","Chandelure","シャンデラ","Shandera","Chandela"
"610","Axew","キバゴ","Kibago","Kibago"
"611","Fraxure","オノンド","Onondo","Onondo"
"612","Haxorus","オノノクス","Ononokusu","Ononokus"
"613","Cubchoo","クマシュン","Kumashun","Kumasyun"
"614","Beartic","ツンベアー","Tsunbeā","Tunbear"
"615","Cryogonal","フリージオ","Furījio","Freegeo"
"616","Shelmet","チョボマキ","Chobomaki","Chobomaki"
"617","Accelgor","アギルダー","Agirudā","Agilder"
"618","Stunfisk","マッギョ","Maggyo","Maggyo"
"619","Mienfoo","コジョフー","Kojofū","Kojofu"
"620","Mienshao","コジョンド","Kojondo","Kojondo"
"621","Druddigon","クリムガン","Kurimugan","Crimgan"
"622","Golett","ゴビット","Gobitto","Gobit"
"623","Golurk","ゴルーグ","Gorūgu","Goloog"
"624","Pawniard","コマタナ","Komatana","Komatana"
"625","Bisharp","キリキザン","Kirikizan","Kirikizan"
"626","Bouffalant","バッフロン","Baffuron","Buffron"
"627","Rufflet","ワシボン","Washibon","Washibon"
"628","Braviary","ウォーグル","Wōguru","Warrgle"
"629","Vullaby","バルチャイ","Baruchai","Valchai"
"630","Mandibuzz","バルジーナ","Barujīna","Vulgina"
"631","Heatmor","クイタラン","Kuitaran","Kuitaran"
"632","Durant","アイアント","Aianto","Aiant"
"633","Deino","モノズ","Monozu","Monozu"
"634","Zweilous","ジヘッド","Jiheddo","Dihead"
"635","Hydreigon","サザンドラ","Sazandora","Sazandora"
"636","Larvesta","メラルバ","Meraruba","Merlarva"
"637","Volcarona","ウルガモス","Urugamosu","Ulgamoth"
"638","Cobalion","コバルオン","Kobaruon","Cobalon"
"639","Terrakion","テラキオン","Terakion","Terrakion"
"640","Virizion","ビリジオン","Birijion","Virizion"
"641","Tornadus","トルネロス","Torunerosu","Tornelos"
"642","Thundurus","ボルトロス","Borutorosu","Voltolos"
"643","Reshiram","レシラム","Reshiramu","Reshiram"
"644","Zekrom","ゼクロム","Zekuromu","Zekrom"
"645","Landorus","ランドロス","Randorosu","Landlos"
"646","Kyurem","キュレム","Kyuremu","Kyurem"
"647","Keldeo","ケルディオ","Kerudio","Keldeo"
"648","Meloetta","メロエッタ","Meroetta","Meloetta"
"649","Genesect","ゲノセクト","Genosekuto","Genesect"
"650","Chespin","ハリマロン","Harimaron","Harimaron"
"651","Quilladin","ハリボーグ","Haribōgu","Hariborg"
"652","Chesnaught","ブリガロン","Burigaron","Brigarron"
"653","Fennekin","フォッコ","Fokko","Fokko"
"654","Braixen","テールナー","Tērunā","Tairenar"
"655","Delphox","マフォクシー","Mafokushī","Mahoxy"
"656","Froakie","ケロマツ","Keromatsu","Keromatsu"
"657","Frogadier","ゲコガシラ","Gekogashira","Gekogashira"
"658","Greninja","ゲッコウガ","Gekkōga","Gekkouga"
"659","Bunnelby","ホルビー","Horubī","Horubee"
"660","Diggersby","ホルード","Horūdo","Horudo"
"661","Fletchling","ヤヤコマ","Yayakoma","Yayakoma"
"662","Fletchinder","ヒノヤコマ","Hinoyakoma","Hinoyakoma"
"663","Talonflame","ファイアロー","Faiarō","Fiarrow"
"664","Scatterbug","コフキムシ","Kofukimushi","Kofukimushi"
"665","Spewpa","コフーライ","Kofūrai","Kofuurai"
"666","Vivillon","ビビヨン","Bibiyon","Viviyon"
"667","Litleo","シシコ","Shishiko","Shishiko"
"668","Pyroar","カエンジシ","Kaenjishi","Kaenjishi"
"669","Flabébé","フラベベ","Furabebe","Flabebe"
"670","Floette","フラエッテ","Furaette","Floette"
"671","Florges","フラージェス","Furājesu","Florges"
"672","Skiddo","メェークル","Mēkuru","Meecle"
"673","Gogoat","ゴーゴート","Gōgōto","Gogoat"
"674","Pancham","ヤンチャム","Yanchamu","Yancham"
"675","Pangoro","ゴロンダ","Goronda","Goronda"
"676","Furfrou","トリミアン","Torimian","Trimmien"
"677","Espurr","ニャスパー","Nyasupā","Nyasper"
"678","Meowstic","ニャオニクス","Nyaonikusu","Nyaonix"
"679","Honedge","ヒトツキ","Hitotsuki","Hitotsuki"
"680","Doublade","ニダンギル","Nidangiru","Nidangill"
"681","Aegislash","ギルガルド","Girugarudo","Gillguard"
"682","Spritzee","シュシュプ","Shushupu","Shushupu"
"683","Aromatisse","フレフワン","Furefuwan","Frefuwan"
"684","Swirlix","ペロッパフ","Peroppafu","Peroppafu"
"685","Slurpuff","ペロリーム","Perorīmu","Peroream"
"686","Inkay","マーイーカ","Māīka","Maaiika"
"687","Malamar","カラマネロ","Karamanero","Calamanero"
"688","Binacle","カメテテ","Kametete","Kametete"
"689","Barbaracle","ガメノデス","Gamenodesu","Gamenodes"
"690","Skrelp","クズモー","Kuzumō","Kuzumo"
"691","Dragalge","ドラミドロ","Doramidoro","Dramidoro"
"692","Clauncher","ウデッポウ","Udeppō","Udeppou"
"693","Clawitzer","ブロスター","Burosutā","Bloster"
"694","Helioptile","エリキテル","Erikiteru","Erikiteru"
"695","Heliolisk","エレザード","Erezādo","Elezard"
"696","Tyrunt","チゴラス","Chigorasu","Chigoras"
"697","Tyrantrum","ガチゴラス","Gachigorasu","Gachigoras"
"698","Amaura","アマルス","Amarusu","Amarus"
"699","Aurorus","アマルルガ","Amaruruga","Amaruruga"
"700","Sylveon","ニンフィア","Ninfia","Nymphia"
"701","Hawlucha","ルチャブル","Ruchaburu","Luchabull"
"702","Dedenne","デデンネ","Dedenne","Dedenne"
"703","Carbink","メレシー","Mereshī","Melecie"
"704","Goomy","ヌメラ","Numera","Numera"
"705","Sliggoo","ヌメイル","Numeiru","Numeil"
"706","Goodra","ヌメルゴン","Numerugon","Numelgon"
"707","Klefki","クレッフィ","Kureffi","Cleffy"
"708","Phantump","ボクレー","Bokurē","Bokurei"
"709","Trevenant","オーロット","Ōrotto","Ohrot"
"710","Pumpkaboo","バケッチャ","Baketcha","Bakeccha"
"711","Gourgeist","パンプジン","Panpujin","Pumpjin"
"712","Bergmite","カチコール","Kachikōru","Kachikohru"
"713","Avalugg","クレベース","Kurebēsu","Crebase"
"714","Noibat","オンバット","Onbatto","Onbat"
"715","Noivern","オンバーン","Onbān","Onvern"
"716","Xerneas","ゼルネアス","Zeruneasu","Xerneas"
"717","Yveltal","イベルタル","Iberutaru","Yveltal"
"718","Zygarde","ジガルデ","Jigarude","Zygarde"
"719","Diancie","ディアンシー","Dianshī","Diancie"
"720","Hoopa","フーパ","Fūpa","Hoopa"
"721","Volcanion","ボルケニオン","Borukenion","Volcanion"
"722","Rowlet","モクロー","Mokurō","Mokuroh"
"723","Dartrix","フクスロー","Fukusurō","Fukuthrow"
"724","Decidueye","ジュナイパー","Junaipā","Junaiper"
"725","Litten","ニャビー","Nyabī","Nyabby"
"726","Torracat","ニャヒート","Nyahīto","Nyaheat"
"727","Incineroar","ガオガエン","Gaogaen","Gaogaen"
"728","Popplio","アシマリ","Ashimari","Ashimari"
"729","Brionne","オシャマリ","Oshamari","Osyamari"
"730","Primarina","アシレーヌ","Ashirēnu","Ashirene"
"731","Pikipek","ツツケラ","Tsutsukera","Tsutsukera"
"732","Trumbeak","ケララッパ","Kerarappa","Kerarappa"
"733","Toucannon","ドデカバシ","Dodekabashi","Dodekabashi"
"734","Yungoos","ヤングース","Yangūsu","Youngoose"
"735","Gumshoos","デカグース","Dekagūsu","Dekagoose"
"736","Grubbin","アゴジムシ","Agojimushi","Agojimushi"
"737","Charjabug","デンヂムシ","Denjimushi","Dendimushi"
"738","Vikavolt","クワガノン","Kuwaganon","Kuwagannon"
"739","Crabrawler","マケンカニ","Makenkani","Makenkani"
"740","Crabominable","ケケンカニ","Kekenkani","Kekenkani"
"741","Oricorio","オドリドリ","Odoridori","Odoridori"
"742","Cutiefly","アブリー","Aburī","Abuly"
"743","Ribombee","アブリボン","Aburibon","Aburibbon"
"744","Rockruff","イワンコ","Iwanko","Iwanko"
"745","Lycanroc","ルガルガン","Rugarugan","Lugarugan"
"746","Wishiwashi","ヨワシ","Yowashi","Yowashi"
"747","Mareanie","ヒドイデ","Hidoide","Hidoide"
"748","Toxapex","ドヒドイデ","Dohidoide","Dohidoide"
"749","Mudbray","ドロバンコ","Dorobanko","Dorobanko"
"750","Mudsdale","バンバドロ","Banbadoro","Banbadoro"
"751","Dewpider","シズクモ","Shizukumo","Shizukumo"
"752","Araquanid","オニシズクモ","Onishizukumo","Onishizukumo"
"753","Fomantis","カリキリ","Karikiri","Karikiri"
"754","Lurantis","ラランテス","Rarantesu","Lalantes"
"755","Morelull","ネマシュ","Nemashu","Nemasyu"
"756","Shiinotic","マシェード","Mashēdo","Mashade"
"757","Salandit","ヤトウモリ","Yatōmori","Yatoumori"
"758","Salazzle","エンニュート","Ennyūto","Ennewt"
"759","Stufful","ヌイコグマ","Nuikoguma","Nuikoguma"
"760","Bewear","キテルグマ","Kiteruguma","Kiteruguma"
"761","Bounsweet","アマカジ","Amakaji","Amakaji"
"762","Steenee","アママイコ","Amamaiko","Amamaiko"
"763","Tsareena","アマージョ","Amājo","Amajo"
"764","Comfey","キュワワー","Kyuwawā","Cuwawa"
"765","Oranguru","ヤレユータン","Yareyūtan","Yareyuutan"
"766","Passimian","ナゲツケサル","Nagetsukesaru","Nagetukesaru"
"767","Wimpod","コソクムシ","Kosokumushi","Kosokumushi"
"768","Golisopod","グソクムシャ","Gusokumusha","Gusokumusha"
"769","Sandygast","スナバァ","Sunabā","Sunaba"
"770","Palossand","シロデスナ","Shirodesuna","Sirodethna"
"771","Pyukumuku","ナマコブシ","Namakobushi","Namakobushi"
"772","Type: Null","タイプ：ヌル","Taipu:Nuru","Type: Null"
"773","Silvally","シルヴァディ","Shiruvadi","Silvady"
"774","Minior","メテノ","Meteno","Meteno"
"775","Komala","ネッコアラ","Nekkoara","Nekkoara"
"776","Turtonator","バクガメス","Bakugamesu","Bakugames"
"777","Togedemaru","トゲデマル","Togedemaru","Togedemaru"
"778","Mimikyu","ミミッキュ","Mimikkyu","Mimikkyu"
"779","Bruxish","ハギギシリ","Hagigishiri","Hagigishiri"
"780","Drampa","ジジーロン","Jijīron","Jijilong"
"781","Dhelmise","ダダリン","Dadarin","Dadarin"
"782","Jangmo-o","ジャラコ","Jarako","Jyarako"
"783","Hakamo-o","ジャランゴ","Jarango","Jyarango"
"784","Kommo-o","ジャラランガ","Jararanga","Jyararanga"
"785","Tapu Koko","カプ・コケコ","Kapu Kokeko","Kapu-Kokeko"
"786","Tapu Lele","カプ・テテフ","Kapu Tetefu","Kapu-Tetefu"
"787","Tapu Bulu","カプ・ブルル","Kapu Bururu","Kapu-Bulul"
"788","Tapu Fini","カプ・レヒレ","Kapu Rehire","Kapu-Rehire"
"789","Cosmog","コスモッグ","Kosumoggu","Cosmog"
"790","Cosmoem","コスモウム","Kosumoumu","Cosmovum"
"791","Solgaleo","ソルガレオ","Sorugareo","Solgaleo"
"792","Lunala","ルナアーラ","Runaāra","Lunala"
"793","Nihilego","ウツロイド","Utsuroido","Uturoid"
"794","Buzzwole","マッシブーン","Masshibūn","Massivoon"
"795","Pheromosa","フェローチェ","Ferōche","Pheroache"
"796","Xurkitree","デンジュモク","Denjumoku","Denjyumoku"
"797","Celesteela","テッカグヤ","Tekkaguya","Tekkaguya"
"798","Kartana","カミツルギ","Kamitsurugi","Kamiturugi"
"799","Guzzlord","アクジキング","Akujikingu","Akuziking"
"800","Necrozma","ネクロズマ","Nekurozuma","Necrozma"
"801","Magearna","マギアナ","Magiana","Magearna"
"802","Marshadow","マーシャドー","Māshadō","Marshadow"
"803","Poipole","ベベノム","Bebenomu",""
"804","Naganadel","アーゴヨン","Āgoyon",""
"805","Stakataka","ツンデツンデ","Tsundetsunde",""
"806","Blacephalon","ズガドーン","Zugadōn",""
"807","Zeraora","ゼラオラ","Zeraora",""
